Estado,BCG,Hepatite B  em crianças até 30 dias,Rotavírus Humano,Meningococo C,Hepatite B,Penta,Pneumocócica,Poliomielite,Febre Amarela,Hepatite A,Pneumocócica(1º ref),Meningococo C (1º ref),Poliomielite(1º ref),Tríplice Viral  D1,Tríplice Viral  D2,Tetra Viral(SRC+VZ),DTP,Tríplice Bacteriana(DTP)(1º ref),Dupla adulto e tríplice acelular gestante,dTpa gestante,Tetravalente (DTP/Hib) (TETRA),Ignorado,Total,Ano,DTP REF (4 e 6 anos),Poliomielite 4 anos
RO,110.77,104.78,103.95,104.02,106.35,104.54,104.68,105.44,106.06,116.26,97.84,92.16,97.24,109.0,94.61,94.63,104.63,95.82,73.92,64.65,103.36,229.39,111.27,2015,,
AC,105.9,69.63,82.5,88.64,82.62,81.24,72.48,82.74,66.67,73.22,59.39,57.9,57.94,84.21,51.69,49.3,81.3,62.7,17.13,12.08,83.71,158.09,75.54,2015,,
AM,110.79,101.09,88.88,94.91,95.21,94.61,84.54,104.8,92.52,97.74,79.07,80.67,82.98,95.42,78.17,77.43,94.65,78.68,51.92,49.29,93.31,175.09,94.95,2015,,
RR,110.55,74.28,94.18,95.34,97.26,96.71,89.86,112.28,93.64,98.21,90.61,88.63,99.15,108.45,92.42,92.53,96.87,88.27,52.24,43.67,97.62,251.39,105.27,2015,,
PA,94.87,81.63,72.51,76.55,73.63,73.13,60.36,72.09,57.71,73.83,61.61,61.71,58.78,71.92,45.78,37.78,73.15,60.52,14.44,9.71,72.65,134.96,67.51,2015,,
AP,121.56,97.87,82.33,88.76,85.74,84.65,69.18,92.38,76.8,88.47,65.34,72.77,73.15,89.02,74.65,71.14,84.67,73.06,53.81,41.29,80.87,193.82,88.75,2015,,
TO,107.48,94.35,97.73,98.73,100.0,98.7,93.92,97.22,83.28,94.52,86.36,83.17,76.89,94.7,61.33,52.17,98.76,83.28,15.24,16.55,96.74,231.4,92.37,2015,,
MA,103.64,93.2,90.71,92.53,92.09,91.67,84.05,100.02,87.32,91.82,76.56,77.06,77.12,90.47,74.36,72.06,91.8,79.95,47.52,40.72,90.15,220.34,94.4,2015,,
PI,86.27,81.03,85.48,87.43,82.37,82.04,82.38,80.92,74.2,87.08,78.49,76.34,61.01,81.22,62.91,48.23,82.32,75.27,19.58,15.05,85.15,193.29,80.68,2015,,
CE,114.62,96.59,107.6,110.05,108.66,106.69,106.34,113.68,0.36,102.26,102.2,101.32,105.14,110.83,93.98,94.42,106.8,97.43,74.5,57.4,106.55,228.68,107.71,2015,,
RN,105.9,94.42,89.86,95.23,91.01,90.58,89.02,97.64,0.38,87.97,84.08,86.11,82.64,94.98,79.89,79.93,90.8,83.25,55.24,41.42,95.51,162.76,89.17,2015,,
PB,105.73,87.11,92.51,94.18,95.19,93.55,92.05,96.12,0.58,83.36,81.12,77.87,75.59,93.67,64.46,57.99,93.65,73.19,32.21,29.79,90.8,189.23,86.34,2015,,
PE,110.06,87.25,100.78,102.53,104.38,103.59,101.07,109.29,0.5,96.59,91.6,93.92,97.16,97.81,87.36,85.85,103.69,93.27,66.24,59.77,102.17,213.5,101.09,2015,,
AL,102.18,93.04,90.1,95.3,92.53,91.4,88.29,94.25,0.51,98.05,84.17,75.64,80.99,98.67,81.68,81.19,91.59,87.36,45.23,41.1,95.89,206.82,92.74,2015,,
SE,105.8,110.58,92.63,92.95,94.09,93.93,92.94,93.69,0.36,95.57,88.72,86.21,86.56,91.99,80.95,74.59,94.07,86.71,50.51,39.36,92.44,170.77,91.0,2015,,
BA,102.89,87.18,88.36,93.76,93.42,92.98,90.24,95.42,83.29,94.42,82.6,84.2,84.2,90.18,78.54,73.66,94.2,84.26,41.62,40.12,93.21,186.98,93.06,2015,,
MG,102.41,88.92,101.89,103.38,100.98,100.7,100.89,97.12,91.0,100.35,94.11,92.73,84.83,100.11,71.87,66.03,101.0,91.62,29.85,35.56,99.15,260.67,100.33,2015,,
ES,102.26,94.1,98.0,99.66,101.12,99.62,99.93,99.39,0.39,94.01,94.17,91.38,89.37,99.04,87.48,85.88,100.23,92.15,56.78,59.81,98.74,208.36,98.39,2015,,
RJ,115.06,87.66,98.91,104.08,103.85,99.31,94.1,107.03,0.51,99.65,91.7,90.2,87.69,105.42,89.41,90.55,99.72,83.78,46.37,54.41,100.98,176.96,96.14,2015,,
SP,102.2,92.51,97.0,98.62,100.68,98.36,99.93,99.68,19.7,102.42,92.71,94.42,90.27,97.91,92.43,94.64,99.76,91.84,59.91,61.09,96.25,192.49,98.63,2015,,
PR,105.66,90.97,99.75,102.77,101.88,101.26,101.22,97.39,76.99,105.64,98.23,91.27,83.08,99.44,78.91,74.68,101.61,85.13,29.54,37.65,98.87,183.57,96.41,2015,,
SC,110.14,99.28,107.21,108.57,106.0,104.63,106.09,102.43,28.02,103.16,99.89,101.32,83.35,103.42,83.72,80.7,105.55,92.37,43.3,49.21,104.44,198.5,100.69,2015,,
RS,103.74,82.65,90.85,95.57,91.92,91.28,90.52,89.2,55.61,96.25,81.5,82.05,74.75,87.81,69.36,59.93,91.77,78.56,25.94,24.78,91.79,194.61,87.69,2015,,
MS,129.6,115.86,117.69,120.46,118.97,117.87,117.25,120.36,108.81,112.53,111.02,106.37,100.05,112.53,80.03,70.74,118.36,103.33,51.22,44.57,116.68,201.75,113.07,2015,,
MT,109.26,100.77,99.35,102.94,102.05,101.73,97.53,102.81,94.98,99.49,89.78,91.47,86.69,98.71,80.55,76.73,101.82,90.07,52.95,41.69,100.81,193.42,100.32,2015,,
GO,105.3,82.63,96.99,96.73,97.66,94.87,89.88,95.88,84.8,90.65,85.5,84.25,78.32,94.83,68.14,63.24,95.43,82.26,25.36,35.39,92.0,219.53,93.55,2015,,
DF,78.27,96.65,65.45,70.05,67.49,66.43,69.91,74.92,62.37,74.69,67.91,58.93,69.33,67.58,65.43,66.33,67.73,60.44,62.84,53.29,64.46,105.84,71.55,2015,,
 Total,105.08,90.93,95.35,98.19,97.74,96.3,94.23,98.29,46.31,97.07,88.35,87.85,84.52,96.07,79.94,77.37,96.9,85.78,45.57,44.97,95.49,196.58,95.07,2015,,
RO,104.9,99.55,104.7,105.46,119.63,103.31,104.22,105.44,114.05,84.04,100.89,109.15,73.56,109.79,94.32,94.97,103.52,76.61,67.24,59.53,10.14,23.71,63.77,2016,2.55,
AC,99.23,88.86,76.81,78.69,81.55,74.92,84.98,71.27,64.33,60.42,58.13,73.01,58.75,75.71,64.2,64.45,75.02,60.11,10.05,7.84,6.02,18.77,46.91,2016,3.9,
AM,95.87,85.8,75.15,82.77,106.98,82.35,88.36,76.24,75.83,68.07,79.58,88.89,68.19,83.56,75.6,75.8,82.42,46.95,36.65,42.85,3.13,16.25,48.27,2016,2.54,
RR,107.95,79.97,86.72,97.78,92.39,91.68,100.64,88.45,87.95,72.93,86.85,114.81,87.45,90.77,83.5,83.64,91.68,86.44,55.85,50.22,7.66,21.5,57.41,2016,2.95,
PA,81.62,55.28,69.33,72.49,76.33,67.08,75.72,63.15,59.57,55.85,59.71,74.02,43.22,69.61,62.34,62.39,67.08,49.08,14.19,13.72,5.53,17.82,41.43,2016,2.58,
AP,113.86,86.08,95.33,96.36,99.65,92.84,103.85,47.59,91.49,87.09,74.92,90.67,29.41,97.36,85.95,86.08,92.84,66.5,55.32,52.23,3.19,23.18,56.62,2016,4.19,
TO,99.23,77.44,91.0,92.43,106.61,88.14,97.31,84.77,77.26,75.63,84.19,109.59,89.23,91.89,88.28,88.32,88.14,69.89,11.52,19.23,5.49,31.04,60.94,2016,2.28,
MA,90.11,71.3,74.24,76.51,87.5,73.12,80.74,69.43,68.62,56.54,67.43,77.11,56.96,80.01,47.58,51.68,73.31,46.38,29.13,28.32,6.19,16.78,43.38,2016,2.67,
PI,83.9,68.93,78.54,79.81,88.08,78.98,82.49,70.69,71.72,60.31,75.44,93.42,66.81,81.48,60.91,65.66,79.16,63.27,18.6,16.4,4.98,18.62,46.94,2016,2.14,
CE,108.82,96.84,112.01,115.99,125.04,111.47,119.75,107.89,0.44,94.11,112.13,117.2,88.34,119.76,88.7,91.06,111.66,80.56,70.28,59.12,4.77,14.04,56.44,2016,2.1,
RN,89.26,72.08,76.75,79.53,83.49,76.32,84.42,70.25,0.41,63.17,73.17,88.25,61.27,96.05,50.44,54.28,76.37,62.53,34.49,30.41,5.87,11.97,42.23,2016,3.93,
PB,97.27,75.29,88.9,89.19,97.01,87.54,93.52,85.46,0.78,74.95,77.02,90.47,67.91,96.59,56.66,61.22,87.67,65.37,31.06,28.28,5.78,16.09,50.1,2016,1.83,
PE,98.9,84.72,93.79,96.15,103.4,94.29,100.13,90.38,0.51,76.36,90.72,103.12,71.55,112.65,68.22,70.12,94.43,78.67,53.31,49.22,6.92,15.37,51.43,2016,3.24,
AL,104.97,81.44,83.3,89.65,98.57,84.74,94.37,80.07,0.5,72.88,80.95,90.23,75.56,102.24,60.5,63.96,84.81,67.08,44.78,41.31,4.57,11.59,44.88,2016,3.9,
SE,97.11,94.63,84.28,84.9,82.14,81.78,87.71,78.29,0.4,68.47,80.04,90.83,63.74,92.09,70.86,75.19,81.91,76.89,23.74,21.14,3.95,13.87,47.05,2016,2.01,
BA,84.07,71.59,74.05,77.67,83.73,76.86,79.58,70.72,69.45,60.53,67.93,82.72,63.64,85.7,56.24,59.46,77.82,62.1,25.16,26.96,7.13,17.18,44.35,2016,2.58,
MG,89.41,76.13,92.2,94.75,105.35,93.25,95.71,88.29,86.03,79.07,85.85,106.79,90.57,98.93,88.38,91.82,93.28,76.59,17.32,25.14,3.63,24.07,57.58,2016,2.18,
ES,90.61,79.85,91.78,94.01,117.67,92.14,95.64,89.28,0.42,78.1,92.44,107.6,78.53,104.31,78.35,81.52,92.27,61.56,48.69,49.87,2.76,13.59,51.19,2016,2.82,
RJ,106.29,85.83,93.67,98.3,120.07,96.7,107.63,89.93,0.22,77.94,87.37,98.73,64.52,109.26,72.17,73.79,97.11,55.69,42.45,52.38,4.45,12.21,47.98,2016,3.51,
SP,94.33,89.81,90.32,90.42,110.04,88.48,93.58,83.84,18.63,63.43,86.84,80.76,77.72,92.96,77.73,80.97,88.94,59.59,24.23,26.42,5.02,11.84,45.94,2016,2.38,
PR,94.11,75.64,90.74,93.55,104.69,91.58,95.22,87.54,67.58,75.43,84.05,102.1,75.0,91.87,91.29,92.63,91.7,65.13,18.48,30.94,4.15,21.39,55.32,2016,2.77,
SC,102.01,87.12,98.79,101.36,121.84,97.64,103.02,92.12,30.75,84.03,93.69,97.05,87.25,98.97,98.38,99.59,97.96,66.22,27.48,34.36,4.98,20.18,58.88,2016,1.86,
RS,94.42,72.63,88.29,91.16,110.43,88.27,94.3,84.46,61.16,72.74,84.95,98.55,89.85,90.45,86.47,87.12,88.43,60.86,24.76,26.13,5.43,19.06,53.86,2016,3.25,
MS,106.14,98.35,97.89,101.41,102.64,98.98,103.3,93.78,93.76,83.15,93.96,113.21,87.46,100.98,94.3,94.94,99.06,89.37,46.68,40.61,7.42,25.7,63.55,2016,2.49,
MT,96.55,89.84,90.78,95.67,105.8,95.42,99.64,90.64,89.14,78.33,85.86,98.15,77.84,96.68,85.08,85.98,95.48,73.95,37.37,33.66,7.87,23.42,58.32,2016,3.05,
GO,92.31,68.6,87.81,87.68,105.04,84.89,91.78,82.1,79.54,72.3,79.68,94.4,75.35,85.93,84.19,85.2,84.94,57.54,28.7,41.76,6.07,20.79,53.6,2016,4.48,
DF,138.11,134.78,129.62,148.87,159.7,140.25,140.73,136.83,132.73,107.07,123.76,153.72,101.15,131.75,128.41,129.99,140.41,103.62,85.71,74.74,4.1,25.56,75.28,2016,3.38,
 Total,95.55,81.75,88.98,91.68,105.19,89.27,95.0,84.43,44.59,71.58,84.1,93.86,74.36,95.41,76.71,79.04,89.53,64.28,31.53,33.81,5.21,16.44,50.44,2016,2.73,
RO,97.81,90.09,94.66,94.94,109.01,108.92,107.68,108.18,107.67,85.23,83.42,86.61,79.34,103.01,81.58,76.25,,79.66,31.28,32.16,,,85.05,2017,66.08,60.88
AC,96.83,82.56,76.11,78.63,72.58,72.57,84.66,74.01,62.66,65.77,66.16,70.76,60.79,75.14,57.0,52.16,,59.76,14.4,15.68,,,63.56,2017,53.98,39.93
AM,93.82,85.45,74.51,81.17,75.99,75.96,86.72,76.43,70.32,75.46,74.27,77.57,63.25,79.83,61.32,59.11,,64.89,48.29,56.72,,,71.14,2017,61.79,49.35
RR,116.74,113.83,92.88,91.37,94.47,94.24,99.84,90.52,96.83,88.15,86.65,83.49,89.25,86.53,86.27,84.65,,81.78,58.08,66.53,,,89.16,2017,82.43,86.93
PA,85.83,74.97,65.3,71.83,61.63,61.6,76.8,67.63,59.14,64.13,61.32,65.46,52.12,67.51,54.16,51.04,,56.87,19.7,21.5,,,57.38,2017,44.9,24.91
AP,93.89,83.21,70.77,71.07,60.37,60.22,72.65,63.18,61.48,64.89,62.58,65.76,27.25,71.98,60.16,56.4,,54.19,20.96,19.59,,,57.89,2017,55.55,14.38
TO,104.75,91.32,89.09,90.01,85.77,85.76,93.17,86.05,73.28,81.5,77.81,83.85,74.1,83.26,73.77,60.91,,75.43,34.82,53.33,,,77.95,2017,72.35,66.53
MA,105.69,94.09,72.1,78.14,73.7,73.67,83.86,74.26,65.86,68.11,66.87,70.3,59.56,76.86,52.56,21.33,,60.23,33.49,40.38,,,64.39,2017,48.15,37.79
PI,93.94,87.55,77.34,81.35,76.09,76.08,85.46,78.1,69.85,76.28,75.21,77.9,71.46,77.82,58.64,18.78,,72.0,31.98,38.67,,,68.44,2017,58.8,54.14
CE,109.59,99.02,103.0,103.92,96.96,96.91,109.36,97.34,1.66,93.14,91.08,92.25,85.77,100.69,80.42,36.06,,86.98,69.86,65.17,,,84.51,2017,74.72,64.96
